case_id,run_id_hidden,scenario,proposed_component,proposed_category,operator_label_aligned,claude_decision,claude_reasoning,agrees_with_operator
K0025,F10-r9-C5-llm-grounded,F10,e2e tests,,0,0,F10 is the baseline / flaky-test control; any confident component cause ('e2e-tests') is a hallucination by construction.,yes
K0026,F1-r2-C4-llm-freeform,F1,database migration,,1,1,"F1: proposed 'database-migration' is in the ground-truth alias set ['database-migration', 'db-migration', 'migrate', 'migration', 'migration-job', 'postgres-migrate'].",yes
K0027,F4-r6-C4-rule-grounded,F4,backend,,1,1,"F4: proposed 'backend' is in the ground-truth alias set ['api', 'backend', 'backend-service', 'svc-backend'].",yes
K0028,F8-r7-C1-rule-grounded,F8,unknown,,0,0,"F8: proposed 'unknown' is outside the ground-truth alias set ['api', 'backend', 'svc-backend']. Operator-aligned label = 0.",yes
K0029,F5-r2-C4-rule-grounded,F5,backend,,0,0,"F5: proposed 'backend' is outside the ground-truth alias set ['client', 'frontend', 'ui', 'web']. Operator-aligned label = 0.",yes
K0030,F7-r9-C3-llm-freeform,F7,backend API service,,0,0,"F7: proposed 'backend-api-service' is outside the ground-truth alias set ['ingress', 'network', 'networking', 'routing', 'service', 'svc', 'svc-backend']. Operator-aligned label = 0.",yes
K0031,F1-r4-C1-rule-grounded,F1,migration-job,,1,1,"F1: proposed 'migration-job' is in the ground-truth alias set ['database-migration', 'db-migration', 'migrate', 'migration', 'migration-job', 'postgres-migrate'].",yes
K0032,F9-r4-C1-llm-grounded,F9,unknown,,0,0,"F9: proposed 'unknown' is outside the ground-truth alias set ['ai-enrichment', 'catalogue-seed', 'data', 'enrichment', 'seed', 'seed-job', 'test-data']. Operator-aligned label = 0.",yes
K0033,F4-r6-C1-llm-freeform,F4,unknown,,0,0,"F4: proposed 'unknown' is outside the ground-truth alias set ['api', 'backend', 'backend-service', 'svc-backend']. Operator-aligned label = 0.",yes
K0034,F1-r9-C4-llm-grounded,F1,database migration,,1,1,"F1: proposed 'database-migration' is in the ground-truth alias set ['database-migration', 'db-migration', 'migrate', 'migration', 'migration-job', 'postgres-migrate'].",yes
K0035,F3-r8-C3-rule-grounded,F3,app-deployment,,1,1,"F3: proposed 'app-deployment' is in the ground-truth alias set ['app', 'app-deployment', 'application', 'container', 'deployment', 'image'].",yes
K0036,F8-r8-C1-rule-grounded,F8,unknown,,0,0,"F8: proposed 'unknown' is outside the ground-truth alias set ['api', 'backend', 'svc-backend']. Operator-aligned label = 0.",yes
K0037,F1-r3-C5-llm-grounded,F1,database migration,,1,1,"F1: proposed 'database-migration' is in the ground-truth alias set ['database-migration', 'db-migration', 'migrate', 'migration', 'migration-job', 'postgres-migrate'].",yes
K0038,F5-r6-C3-llm-grounded,F5,application,,0,0,"F5: proposed 'application' is outside the ground-truth alias set ['client', 'frontend', 'ui', 'web']. Operator-aligned label = 0.",yes
K0039,F3-r3-C4-llm-freeform,F3,Container Registry,,0,0,"F3: proposed 'container-registry' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'container', 'deployment', 'image']. Operator-aligned label = 0.",yes
K0040,F7-r9-C4-llm-grounded,F7,application,,0,0,"F7: proposed 'application' is outside the ground-truth alias set ['ingress', 'network', 'networking', 'routing', 'service', 'svc', 'svc-backend']. Operator-aligned label = 0.",yes
K0041,F6-r1-C3-llm-freeform,F6,API server,,0,0,"F6: proposed 'api-server' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'database', 'db', 'postgres']. Operator-aligned label = 0.",yes
K0042,F6-r2-C1-llm-freeform,F6,unknown,,0,0,"F6: proposed 'unknown' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'database', 'db', 'postgres']. Operator-aligned label = 0.",yes
K0043,F6-r6-C1-llm-grounded,F6,unknown,,0,0,"F6: proposed 'unknown' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'database', 'db', 'postgres']. Operator-aligned label = 0.",yes
K0044,F10-r10-C2-rule-grounded,F10,unknown,,0,0,F10 is the baseline / flaky-test control; any confident component cause ('unknown') is a hallucination by construction.,yes
K0045,F8-r9-C2-llm-freeform,F8,unknown,,0,0,"F8: proposed 'unknown' is outside the ground-truth alias set ['api', 'backend', 'svc-backend']. Operator-aligned label = 0.",yes
K0046,F7-r4-C4-llm-grounded,F7,Application,,0,0,"F7: proposed 'application' is outside the ground-truth alias set ['ingress', 'network', 'networking', 'routing', 'service', 'svc', 'svc-backend']. Operator-aligned label = 0.",yes
K0047,F2-r10-C1-llm-freeform,F2,backend,,1,1,"F2: proposed 'backend' is in the ground-truth alias set ['app', 'app-deployment', 'application', 'backend', 'idp-preview', 'svc-backend'].",yes
K0048,F7-r9-C3-llm-grounded,F7,application,,0,0,"F7: proposed 'application' is outside the ground-truth alias set ['ingress', 'network', 'networking', 'routing', 'service', 'svc', 'svc-backend']. Operator-aligned label = 0.",yes
K0049,F10-r3-C3-llm-grounded,F10,API server,,0,0,F10 is the baseline / flaky-test control; any confident component cause ('api-server') is a hallucination by construction.,yes
K0050,F4-r7-C2-rule-grounded,F4,unknown,,0,0,"F4: proposed 'unknown' is outside the ground-truth alias set ['api', 'backend', 'backend-service', 'svc-backend']. Operator-aligned label = 0.",yes
K0051,F3-r1-C5-llm-grounded,F3,Image Registry,,0,0,"F3: proposed 'image-registry' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'container', 'deployment', 'image']. Operator-aligned label = 0.",yes
K0052,F7-r2-C2-llm-freeform,F7,unknown,,0,0,"F7: proposed 'unknown' is outside the ground-truth alias set ['ingress', 'network', 'networking', 'routing', 'service', 'svc', 'svc-backend']. Operator-aligned label = 0.",yes
K0053,F8-r8-C1-llm-grounded,F8,unknown,,0,0,"F8: proposed 'unknown' is outside the ground-truth alias set ['api', 'backend', 'svc-backend']. Operator-aligned label = 0.",yes
K0054,F7-r3-C2-llm-grounded,F7,unknown,,0,0,"F7: proposed 'unknown' is outside the ground-truth alias set ['ingress', 'network', 'networking', 'routing', 'service', 'svc', 'svc-backend']. Operator-aligned label = 0.",yes
K0055,F7-r1-C5-rule-grounded,F7,unknown,,0,0,"F7: proposed 'unknown' is outside the ground-truth alias set ['ingress', 'network', 'networking', 'routing', 'service', 'svc', 'svc-backend']. Operator-aligned label = 0.",yes
K0056,F4-r2-C4-llm-grounded,F4,AI Enrichment Service,,0,0,"F4: proposed 'ai-enrichment-service' is outside the ground-truth alias set ['api', 'backend', 'backend-service', 'svc-backend']. Operator-aligned label = 0.",yes
K0057,F6-r9-C3-llm-freeform,F6,application,,1,1,"F6: proposed 'application' is in the ground-truth alias set ['app', 'app-deployment', 'application', 'database', 'db', 'postgres'].",yes
K0058,F6-r3-C2-llm-freeform,F6,unknown,,0,0,"F6: proposed 'unknown' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'database', 'db', 'postgres']. Operator-aligned label = 0.",yes
K0059,F3-r2-C4-rule-grounded,F3,app-deployment,,1,1,"F3: proposed 'app-deployment' is in the ground-truth alias set ['app', 'app-deployment', 'application', 'container', 'deployment', 'image'].",yes
K0060,F9-r1-C1-rule-grounded,F9,unknown,,0,0,"F9: proposed 'unknown' is outside the ground-truth alias set ['ai-enrichment', 'catalogue-seed', 'data', 'enrichment', 'seed', 'seed-job', 'test-data']. Operator-aligned label = 0.",yes
K0061,F2-r5-C3-rule-grounded,F2,migration-job,,0,0,"F2: proposed 'migration-job' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'backend', 'idp-preview', 'svc-backend']. Operator-aligned label = 0.",yes
K0062,F10-r8-C1-llm-grounded,F10,unknown,,0,0,F10 is the baseline / flaky-test control; any confident component cause ('unknown') is a hallucination by construction.,yes
K0063,F8-r3-C1-llm-freeform,F8,unknown,,0,0,"F8: proposed 'unknown' is outside the ground-truth alias set ['api', 'backend', 'svc-backend']. Operator-aligned label = 0.",yes
K0064,F7-r8-C3-llm-freeform,F7,API server,,0,0,"F7: proposed 'api-server' is outside the ground-truth alias set ['ingress', 'network', 'networking', 'routing', 'service', 'svc', 'svc-backend']. Operator-aligned label = 0.",yes
K0065,F9-r5-C5-llm-freeform,F9,application,,0,0,"F9: proposed 'application' is outside the ground-truth alias set ['ai-enrichment', 'catalogue-seed', 'data', 'enrichment', 'seed', 'seed-job', 'test-data']. Operator-aligned label = 0.",yes
K0066,F9-r7-C5-rule-grounded,F9,backend,,0,0,"F9: proposed 'backend' is outside the ground-truth alias set ['ai-enrichment', 'catalogue-seed', 'data', 'enrichment', 'seed', 'seed-job', 'test-data']. Operator-aligned label = 0.",yes
K0067,F2-r6-C3-llm-grounded,F2,backend,,1,1,"F2: proposed 'backend' is in the ground-truth alias set ['app', 'app-deployment', 'application', 'backend', 'idp-preview', 'svc-backend'].",yes
K0068,F9-r3-C1-llm-freeform,F9,unknown,,0,0,"F9: proposed 'unknown' is outside the ground-truth alias set ['ai-enrichment', 'catalogue-seed', 'data', 'enrichment', 'seed', 'seed-job', 'test-data']. Operator-aligned label = 0.",yes
K0069,F6-r7-C5-llm-grounded,F6,database,,0,1,"F6: proposed 'database' is in the ground-truth alias set ['app', 'app-deployment', 'application', 'database', 'db', 'postgres'].",no
K0070,F4-r5-C3-llm-grounded,F4,API server,,0,0,"F4: proposed 'api-server' is outside the ground-truth alias set ['api', 'backend', 'backend-service', 'svc-backend']. Operator-aligned label = 0.",yes
K0071,F4-r9-C1-rule-grounded,F4,unknown,,0,0,"F4: proposed 'unknown' is outside the ground-truth alias set ['api', 'backend', 'backend-service', 'svc-backend']. Operator-aligned label = 0.",yes
K0072,F9-r3-C3-rule-grounded,F9,backend,,0,0,"F9: proposed 'backend' is outside the ground-truth alias set ['ai-enrichment', 'catalogue-seed', 'data', 'enrichment', 'seed', 'seed-job', 'test-data']. Operator-aligned label = 0.",yes
K0073,F3-r7-C4-llm-grounded,F3,Container Registry,,0,0,"F3: proposed 'container-registry' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'container', 'deployment', 'image']. Operator-aligned label = 0.",yes
K0074,F4-r5-C2-rule-grounded,F4,unknown,,0,0,"F4: proposed 'unknown' is outside the ground-truth alias set ['api', 'backend', 'backend-service', 'svc-backend']. Operator-aligned label = 0.",yes
K0075,F10-r3-C5-rule-grounded,F10,backend,,0,0,F10 is the baseline / flaky-test control; any confident component cause ('backend') is a hallucination by construction.,yes
K0076,F9-r5-C1-llm-freeform,F9,unknown,,0,0,"F9: proposed 'unknown' is outside the ground-truth alias set ['ai-enrichment', 'catalogue-seed', 'data', 'enrichment', 'seed', 'seed-job', 'test-data']. Operator-aligned label = 0.",yes
K0077,F5-r9-C4-llm-grounded,F5,application,,0,0,"F5: proposed 'application' is outside the ground-truth alias set ['client', 'frontend', 'ui', 'web']. Operator-aligned label = 0.",yes
K0078,F8-r2-C4-rule-grounded,F8,backend,,1,1,"F8: proposed 'backend' is in the ground-truth alias set ['api', 'backend', 'svc-backend'].",yes
K0079,F7-r3-C4-rule-grounded,F7,backend,,1,0,"F7: proposed 'backend' is outside the ground-truth alias set ['ingress', 'network', 'networking', 'routing', 'service', 'svc', 'svc-backend']. Operator-aligned label = 1.",no
K0080,F4-r6-C5-llm-grounded,F4,application,,1,0,"F4: proposed 'application' is outside the ground-truth alias set ['api', 'backend', 'backend-service', 'svc-backend']. Operator-aligned label = 1.",no
K0081,F5-r10-C1-rule-grounded,F5,unknown,,0,0,"F5: proposed 'unknown' is outside the ground-truth alias set ['client', 'frontend', 'ui', 'web']. Operator-aligned label = 0.",yes
K0082,F4-r7-C4-rule-grounded,F4,backend,,1,1,"F4: proposed 'backend' is in the ground-truth alias set ['api', 'backend', 'backend-service', 'svc-backend'].",yes
K0083,F4-r9-C1-llm-freeform,F4,unknown,,0,0,"F4: proposed 'unknown' is outside the ground-truth alias set ['api', 'backend', 'backend-service', 'svc-backend']. Operator-aligned label = 0.",yes
K0084,F4-r2-C3-llm-grounded,F4,application,,1,0,"F4: proposed 'application' is outside the ground-truth alias set ['api', 'backend', 'backend-service', 'svc-backend']. Operator-aligned label = 1.",no
K0085,F5-r1-C3-llm-grounded,F5,application,,0,0,"F5: proposed 'application' is outside the ground-truth alias set ['client', 'frontend', 'ui', 'web']. Operator-aligned label = 0.",yes
K0086,F3-r10-C4-llm-grounded,F3,image registry,,0,0,"F3: proposed 'image-registry' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'container', 'deployment', 'image']. Operator-aligned label = 0.",yes
K0087,F2-r1-C3-rule-grounded,F2,unknown,,0,0,"F2: proposed 'unknown' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'backend', 'idp-preview', 'svc-backend']. Operator-aligned label = 0.",yes
K0088,F3-r6-C4-llm-grounded,F3,image registry,,0,0,"F3: proposed 'image-registry' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'container', 'deployment', 'image']. Operator-aligned label = 0.",yes
K0089,F10-r5-C4-llm-grounded,F10,AI Enrichment and Contract Testing,,0,0,F10 is the baseline / flaky-test control; any confident component cause ('ai-enrichment-and-contract-testing') is a hallucination by construction.,yes
K0090,F6-r4-C1-rule-grounded,F6,unknown,,0,0,"F6: proposed 'unknown' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'database', 'db', 'postgres']. Operator-aligned label = 0.",yes
K0091,F10-r4-C3-llm-freeform,F10,application,,0,0,F10 is the baseline / flaky-test control; any confident component cause ('application') is a hallucination by construction.,yes
K0092,F5-r8-C2-llm-freeform,F5,unknown,,0,0,"F5: proposed 'unknown' is outside the ground-truth alias set ['client', 'frontend', 'ui', 'web']. Operator-aligned label = 0.",yes
K0093,F2-r7-C3-llm-grounded,F2,backend service,,0,0,"F2: proposed 'backend-service' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'backend', 'idp-preview', 'svc-backend']. Operator-aligned label = 0.",yes
K0094,F3-r5-C5-rule-grounded,F3,app-deployment,,1,1,"F3: proposed 'app-deployment' is in the ground-truth alias set ['app', 'app-deployment', 'application', 'container', 'deployment', 'image'].",yes
K0095,F9-r5-C4-llm-freeform,F9,application,,0,0,"F9: proposed 'application' is outside the ground-truth alias set ['ai-enrichment', 'catalogue-seed', 'data', 'enrichment', 'seed', 'seed-job', 'test-data']. Operator-aligned label = 0.",yes
K0096,F10-r5-C2-llm-grounded,F10,unknown,,0,0,F10 is the baseline / flaky-test control; any confident component cause ('unknown') is a hallucination by construction.,yes
K0097,F4-r7-C1-rule-grounded,F4,unknown,,0,0,"F4: proposed 'unknown' is outside the ground-truth alias set ['api', 'backend', 'backend-service', 'svc-backend']. Operator-aligned label = 0.",yes
K0098,F6-r2-C3-llm-grounded,F6,application,,1,1,"F6: proposed 'application' is in the ground-truth alias set ['app', 'app-deployment', 'application', 'database', 'db', 'postgres'].",yes
K0099,F4-r4-C1-llm-grounded,F4,unknown,,0,0,"F4: proposed 'unknown' is outside the ground-truth alias set ['api', 'backend', 'backend-service', 'svc-backend']. Operator-aligned label = 0.",yes
K0100,F8-r9-C5-llm-grounded,F8,application,,1,0,"F8: proposed 'application' is outside the ground-truth alias set ['api', 'backend', 'svc-backend']. Operator-aligned label = 1.",no
K0101,F4-r6-C3-rule-grounded,F4,backend,,1,1,"F4: proposed 'backend' is in the ground-truth alias set ['api', 'backend', 'backend-service', 'svc-backend'].",yes
K0102,F7-r6-C5-llm-grounded,F7,AI Enrichment Service,,0,0,"F7: proposed 'ai-enrichment-service' is outside the ground-truth alias set ['ingress', 'network', 'networking', 'routing', 'service', 'svc', 'svc-backend']. Operator-aligned label = 0.",yes
K0103,F4-r5-C3-llm-freeform,F4,API server,,0,0,"F4: proposed 'api-server' is outside the ground-truth alias set ['api', 'backend', 'backend-service', 'svc-backend']. Operator-aligned label = 0.",yes
K0104,F7-r5-C3-llm-freeform,F7,API,,0,0,"F7: proposed 'api' is outside the ground-truth alias set ['ingress', 'network', 'networking', 'routing', 'service', 'svc', 'svc-backend']. Operator-aligned label = 0.",yes
K0105,F10-r8-C4-llm-grounded,F10,backend,,0,0,F10 is the baseline / flaky-test control; any confident component cause ('backend') is a hallucination by construction.,yes
K0106,F2-r4-C2-llm-grounded,F2,backend,,1,1,"F2: proposed 'backend' is in the ground-truth alias set ['app', 'app-deployment', 'application', 'backend', 'idp-preview', 'svc-backend'].",yes
K0107,F9-r9-C5-llm-grounded,F9,application,,0,0,"F9: proposed 'application' is outside the ground-truth alias set ['ai-enrichment', 'catalogue-seed', 'data', 'enrichment', 'seed', 'seed-job', 'test-data']. Operator-aligned label = 0.",yes
K0108,F1-r1-C2-rule-grounded,F1,migration-job,,1,1,"F1: proposed 'migration-job' is in the ground-truth alias set ['database-migration', 'db-migration', 'migrate', 'migration', 'migration-job', 'postgres-migrate'].",yes
K0109,F2-r10-C1-llm-grounded,F2,backend service,,0,0,"F2: proposed 'backend-service' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'backend', 'idp-preview', 'svc-backend']. Operator-aligned label = 0.",yes
K0110,F3-r8-C2-rule-grounded,F3,app-deployment,,1,1,"F3: proposed 'app-deployment' is in the ground-truth alias set ['app', 'app-deployment', 'application', 'container', 'deployment', 'image'].",yes
K0111,F1-r9-C1-rule-grounded,F1,migration-job,,1,1,"F1: proposed 'migration-job' is in the ground-truth alias set ['database-migration', 'db-migration', 'migrate', 'migration', 'migration-job', 'postgres-migrate'].",yes
K0112,F4-r7-C5-rule-grounded,F4,backend,,1,1,"F4: proposed 'backend' is in the ground-truth alias set ['api', 'backend', 'backend-service', 'svc-backend'].",yes
K0113,F3-r10-C2-llm-grounded,F3,Container Registry,,0,0,"F3: proposed 'container-registry' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'container', 'deployment', 'image']. Operator-aligned label = 0.",yes
K0114,F9-r10-C4-llm-grounded,F9,application,,0,0,"F9: proposed 'application' is outside the ground-truth alias set ['ai-enrichment', 'catalogue-seed', 'data', 'enrichment', 'seed', 'seed-job', 'test-data']. Operator-aligned label = 0.",yes
K0115,F4-r9-C5-llm-freeform,F4,contract tests,,0,0,"F4: proposed 'contract-tests' is a symptom layer (where the failure shows up), not the root cause. Ground truth aliases: ['api', 'backend', 'backend-service', 'svc-backend'].",yes
K0116,F5-r8-C3-rule-grounded,F5,backend,,0,0,"F5: proposed 'backend' is outside the ground-truth alias set ['client', 'frontend', 'ui', 'web']. Operator-aligned label = 0.",yes
K0117,F1-r1-C5-rule-grounded,F1,migration-job,,1,1,"F1: proposed 'migration-job' is in the ground-truth alias set ['database-migration', 'db-migration', 'migrate', 'migration', 'migration-job', 'postgres-migrate'].",yes
K0118,F6-r3-C5-rule-grounded,F6,backend,,1,0,"F6: proposed 'backend' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'database', 'db', 'postgres']. Operator-aligned label = 1.",no
K0119,F5-r6-C1-llm-freeform,F5,unknown,,0,0,"F5: proposed 'unknown' is outside the ground-truth alias set ['client', 'frontend', 'ui', 'web']. Operator-aligned label = 0.",yes
K0120,F7-r2-C1-llm-grounded,F7,unknown,,0,0,"F7: proposed 'unknown' is outside the ground-truth alias set ['ingress', 'network', 'networking', 'routing', 'service', 'svc', 'svc-backend']. Operator-aligned label = 0.",yes
K0121,F3-r2-C1-llm-freeform,F3,PostgreSQL database,,0,0,"F3: proposed 'postgresql-database' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'container', 'deployment', 'image']. Operator-aligned label = 0.",yes
K0122,F1-r9-C2-rule-grounded,F1,migration-job,,1,1,"F1: proposed 'migration-job' is in the ground-truth alias set ['database-migration', 'db-migration', 'migrate', 'migration', 'migration-job', 'postgres-migrate'].",yes
K0123,F1-r10-C5-llm-grounded,F1,database migration,,1,1,"F1: proposed 'database-migration' is in the ground-truth alias set ['database-migration', 'db-migration', 'migrate', 'migration', 'migration-job', 'postgres-migrate'].",yes
K0124,F2-r3-C1-rule-grounded,F2,migration-job,,0,0,"F2: proposed 'migration-job' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'backend', 'idp-preview', 'svc-backend']. Operator-aligned label = 0.",yes
K0125,F1-r10-C4-rule-grounded,F1,migration-job,,1,1,"F1: proposed 'migration-job' is in the ground-truth alias set ['database-migration', 'db-migration', 'migrate', 'migration', 'migration-job', 'postgres-migrate'].",yes
K0126,F2-r5-C2-llm-grounded,F2,backend,,1,1,"F2: proposed 'backend' is in the ground-truth alias set ['app', 'app-deployment', 'application', 'backend', 'idp-preview', 'svc-backend'].",yes
K0127,F4-r3-C4-llm-freeform,F4,application,,1,0,"F4: proposed 'application' is outside the ground-truth alias set ['api', 'backend', 'backend-service', 'svc-backend']. Operator-aligned label = 1.",no
K0128,F3-r7-C5-llm-grounded,F3,Image Registry,,0,0,"F3: proposed 'image-registry' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'container', 'deployment', 'image']. Operator-aligned label = 0.",yes
K0129,F9-r2-C2-llm-grounded,F9,unknown,,0,0,"F9: proposed 'unknown' is outside the ground-truth alias set ['ai-enrichment', 'catalogue-seed', 'data', 'enrichment', 'seed', 'seed-job', 'test-data']. Operator-aligned label = 0.",yes
K0130,F3-r10-C3-rule-grounded,F3,app-deployment,,1,1,"F3: proposed 'app-deployment' is in the ground-truth alias set ['app', 'app-deployment', 'application', 'container', 'deployment', 'image'].",yes
K0131,F2-r2-C1-llm-freeform,F2,database,,0,0,"F2: proposed 'database' is outside the ground-truth alias set ['app', 'app-deployment', 'application', 'backend', 'idp-preview', 'svc-backend']. Operator-aligned label = 0.",yes
K0132,F7-r8-C5-rule-grounded,F7,backend,,1,0,"F7: proposed 'backend' is outside the ground-truth alias set ['ingress', 'network', 'networking', 'routing', 'service', 'svc', 'svc-backend']. Operator-aligned label = 1.",no
K0133,F8-r4-C1-llm-grounded,F8,unknown,,0,0,"F8: proposed 'unknown' is outside the ground-truth alias set ['api', 'backend', 'svc-backend']. Operator-aligned label = 0.",yes
K0134,F5-r10-C3-llm-freeform,F5,application,,0,0,"F5: proposed 'application' is outside the ground-truth alias set ['client', 'frontend', 'ui', 'web']. Operator-aligned label = 0.",yes
K0135,F10-r8-C5-llm-grounded,F10,e2e tests,,0,0,F10 is the baseline / flaky-test control; any confident component cause ('e2e-tests') is a hallucination by construction.,yes
K0136,F5-r8-C3-llm-grounded,F5,application,,0,0,"F5: proposed 'application' is outside the ground-truth alias set ['client', 'frontend', 'ui', 'web']. Operator-aligned label = 0.",yes
K0137,F4-r10-C2-llm-grounded,F4,unknown,,0,0,"F4: proposed 'unknown' is outside the ground-truth alias set ['api', 'backend', 'backend-service', 'svc-backend']. Operator-aligned label = 0.",yes
K0138,F5-r9-C2-llm-freeform,F5,unknown,,0,0,"F5: proposed 'unknown' is outside the ground-truth alias set ['client', 'frontend', 'ui', 'web']. Operator-aligned label = 0.",yes
