case_id,run_id_hidden,masked_evidence_text,proposed_component,proposed_category,proposed_cause,operator_label_aligned,correct_human
K0011,F7-r6-C1-llm-freeform,,unknown,,,0,
K0012,F3-r10-C1-llm-grounded,- type=PodLog resource=pod/postgres-d594bdb8f-wxpbf container/postgres msg='2026-05-22 20:54:34.708 UTC [45] LOG:  database system was shut down at 2026-05-22 20:54:34 UTC 2026-05-22 20:54:34.720 UTC [42] LOG:  database system is ready to accept connections done 2026-05-22 20:54:35.293 UTC [1] L…',PostgreSQL database,,,0,
K0013,F2-r2-C4-rule-grounded,"- type=ChangedFile resource=app.py msg='type=backend'
- type=GitDiff resource=ihsenalaya/idp-preview msg='diff stored in ConfigMap ""preview-diff-pr-9202"" (key diff.patch)'
- type=JobLog resource=pod/postgres-migrate-kcffg container/migration msg='INFO  [alembic.runtime.migration] Context impl PostgresqlImpl. INFO  [alembic.runtime.migration] Will assume transactional DDL. INFO  [alembic.runtime.migration] Running upgrade  -> 001, initial schema'
- type=KubernetesEvent resource=Pod/svc-backend-5c54d57c9c-q66rz msg='Pod/svc-backend-5c54d57c9c-q66rz: Back-off restarting failed container backend in pod svc-backend-5c54d57c9c-q66rz_preview-pr-9202(8a6d5ae6-9666-4430-853b-a3ce2af6ba28)'
- type=PodLog resource=pod/postgres-5dd6f6bdb5-ccjqc container/postgres msg='2026-05-22 18:20:00.212 UTC [45] LOG:  database system was shut down at 2026-05-22 18:19:59 UTC 2026-05-22 18:20:00.233 UTC [42] LOG:  database system is ready to accept connections done 2026-05-22 18:20:00.814 UTC [1] L…'
- type=PreviewCondition resource=MigrationReady msg='status=True reason=JobAlreadySucceeded message=Database migration job already completed'
- type=PreviewCondition resource=SeedReady msg='status=True reason=TaskDisabled message=Database seed task is disabled'
- type=PreviewCondition resource=Ready msg='status=False reason=DeploymentFailed message=ReplicaSet ""svc-backend-5c54d57c9c"" has timed out progressing.'",unknown,,,0,
K0014,F10-r9-C3-llm-grounded,"- type=TestResult resource=smoke msg='phase=Succeeded passed=2 failed=0 PASS smoke /healthz: 200 PASS smoke /api/products: 200 Results: 2 passed, 0 failed'
- type=TestResult resource=e2e msg='phase=Failed passed=1 failed=5 FAIL e2e catalog_page_loads: timeout — Locator.wait_for: Timeout 10000ms exceeded. PASS e2e preview_badge_shown FAIL e2e product_detail_panel: timeout — Locator.wait_for: Timeout 10000ms ex…'
- type=TestResult resource=regression msg='phase=Succeeded passed=9 failed=0 PASS regression homepage_html: 200 PASS regression health: 200 PASS regression products_list: 200 PASS regression product_detail: 200 PASS regression product_not_found: 404 PASS regressi…'
- type=TestResult resource=contract msg='phase=Failed passed=0 failed=1 FAIL contract: submit failed: HTTP 500: {""timestamp"":1779537047705,""status"":500,""error"":""Internal Server Error"",""path"":""/api/tests""}'",application,,,0,
K0015,F5-r7-C4-rule-grounded,"- type=ChangedFile resource=frontend.py msg='type=backend'
- type=GitDiff resource=ihsenalaya/idp-preview msg='diff stored in ConfigMap ""preview-diff-pr-9507"" (key diff.patch)'
- type=PreviewCondition resource=AIEnrichmentReady msg='status=True reason=AIEnrichmentCompleted message=AI enrichment seed=Succeeded, tests=Succeeded'
- type=PreviewCondition resource=MigrationReady msg='status=True reason=JobAlreadySucceeded message=Database migration job already completed'
- type=PreviewCondition resource=SeedReady msg='status=True reason=TaskDisabled message=Database seed task is disabled'
- type=PreviewCondition resource=TestSuiteReady msg='status=False reason=TestSuiteFailed message=smoke=Succeeded(2p/0f), regression=Succeeded(9p/0f), e2e=Failed(1p/5f)'
- type=PreviewCondition resource=Approved msg='status=True reason=Approved message=Approved by: '
- type=PreviewCondition resource=DatabaseReady msg='status=True reason=PostgreSQLProvisioned message=PostgreSQL 15 running — credentials in secret preview-pr-9507/postgres-credentials'
- type=PreviewCondition resource=Ready msg='status=True reason=AllResourcesReady message=Preview environment running at http://pr-9507.preview.ihsenalaya.xyz'
- type=TestResult resource=smoke msg='phase=Succeeded passed=2 failed=0 PASS smoke /healthz: 200 PASS smoke /api/products: 200 Results: 2 passed, 0 failed'
- type=TestResult resource=e2e msg='phase=Failed passed=1 failed=5 FAIL e2e catalog_page_loads: timeout — Locator.wait_for: Timeout 10000ms exceeded. PASS e2e preview_badge_shown FAIL e2e product_detail_panel: timeout — Locator.wait_for: Timeout 10000ms ex…'
- type=TestResult resource=regression msg='phase=Succeeded passed=9 failed=0 PASS regression homepage_html: 200 PASS regression health: 200 PASS regression products_list: 200 PASS regression product_detail: 200 PASS regression product_not_found: 404 PASS regressi…'",backend,,,0,
K0016,F1-r4-C3-llm-grounded,"- type=JobLog resource=pod/postgres-migrate-w2gmj container/migration msg='File ""/usr/local/lib/python3.12/site-packages/sqlalchemy/engine/default.py"", line 941, in do_execute cursor.execute(statement, parameters) sqlalchemy.exc.ProgrammingError: (psycopg2.errors.SyntaxError) syntax error at or…'
- type=KubernetesEvent resource=Job/postgres-migrate msg='Job/postgres-migrate: Job has reached the specified backoff limit'
- type=PodLog resource=pod/postgres-7547d75674-gm6td container/postgres msg='2026-05-22 18:46:58.084 UTC [58] LOG:  database system was shut down at 2026-05-22 18:46:57 UTC 2026-05-22 18:46:58.102 UTC [1] LOG:  database system is ready to accept connections 2026-05-22 18:47:09.787 UTC [70] ERROR:…'",database,,,1,
K0017,F2-r1-C1-rule-grounded,"- type=JobLog resource=pod/postgres-migrate-pcvk7 container/migration msg='INFO  [alembic.runtime.migration] Context impl PostgresqlImpl. INFO  [alembic.runtime.migration] Will assume transactional DDL. INFO  [alembic.runtime.migration] Running upgrade  -> 001, initial schema'
- type=PodLog resource=pod/postgres-9f4b767b8-gpl6h container/postgres msg='2026-05-22 18:17:09.012 UTC [45] LOG:  database system was shut down at 2026-05-22 18:17:08 UTC 2026-05-22 18:17:09.049 UTC [42] LOG:  database system is ready to accept connections done 2026-05-22 18:17:09.625 UTC [1] L…'",unknown,,,0,
K0018,F8-r7-C4-llm-freeform,"- type=ChangedFile resource=app.py msg='type=backend'
- type=GitDiff resource=ihsenalaya/idp-preview msg='diff stored in ConfigMap ""preview-diff-pr-9807"" (key diff.patch)'
- type=PreviewCondition resource=AIEnrichmentReady msg='status=True reason=AIEnrichmentCompleted message=AI enrichment seed=Succeeded, tests=Succeeded'
- type=PreviewCondition resource=MigrationReady msg='status=True reason=JobAlreadySucceeded message=Database migration job already completed'
- type=PreviewCondition resource=SeedReady msg='status=True reason=TaskDisabled message=Database seed task is disabled'
- type=PreviewCondition resource=Approved msg='status=True reason=Approved message=Approved by: '
- type=PreviewCondition resource=TestSuiteReady msg='status=False reason=TestSuiteFailed message=smoke=Succeeded(2p/0f), contract=Failed(0p/1f), regression=Succeeded(9p/0f), e2e=Failed(1p/5f)'
- type=PreviewCondition resource=Ready msg='status=True reason=AllResourcesReady message=Preview environment running at http://pr-9807.preview.ihsenalaya.xyz'
- type=PreviewCondition resource=DatabaseReady msg='status=True reason=PostgreSQLProvisioned message=PostgreSQL 15 running — credentials in secret preview-pr-9807/postgres-credentials'
- type=TestResult resource=smoke msg='phase=Succeeded passed=2 failed=0 PASS smoke /healthz: 200 PASS smoke /api/products: 200 Results: 2 passed, 0 failed'
- type=TestResult resource=e2e msg='phase=Failed passed=1 failed=5 FAIL e2e catalog_page_loads: timeout — Locator.wait_for: Timeout 10000ms exceeded. PASS e2e preview_badge_shown FAIL e2e product_detail_panel: timeout — Locator.wait_for: Timeout 10000ms ex…'
- type=TestResult resource=regression msg='phase=Succeeded passed=9 failed=0 PASS regression homepage_html: 200 PASS regression health: 200 PASS regression products_list: 200 PASS regression product_detail: 200 PASS regression product_not_found: 404 PASS regressi…'
- type=TestResult resource=contract msg='phase=Failed passed=0 failed=1 FAIL contract: submit failed: HTTP 500: {""timestamp"":1779527450890,""status"":500,""error"":""Internal Server Error"",""path"":""/api/tests""}'",application,,,1,
K0019,F5-r9-C2-rule-grounded,,unknown,,,0,
K0020,F9-r3-C1-llm-grounded,,unknown,,,0,
K0021,F6-r3-C1-llm-grounded,,unknown,,,0,
K0022,F2-r8-C2-llm-grounded,"- type=JobLog resource=pod/postgres-migrate-jdzlp container/migration msg='INFO  [alembic.runtime.migration] Context impl PostgresqlImpl. INFO  [alembic.runtime.migration] Will assume transactional DDL. INFO  [alembic.runtime.migration] Running upgrade  -> 001, initial schema'
- type=KubernetesEvent resource=Pod/svc-backend-5f444fbd49-5gjxw msg='Pod/svc-backend-5f444fbd49-5gjxw: Back-off restarting failed container backend in pod svc-backend-5f444fbd49-5gjxw_preview-pr-9208(42e504b9-462f-4016-94b4-635bd45cfce2)'
- type=PodLog resource=pod/svc-backend-5f444fbd49-5gjxw container/backend msg='Traceback (most recent call last): File ""/app/app.py"", line 15, in <module> ~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^ File ""<frozen os>"", line 714, in __getitem__ KeyError: \'DATABASE_URL_FP_MISSING\''
- type=PodLog resource=pod/postgres-6f75847c79-sx8pn container/postgres msg='2026-05-22 19:35:39.015 UTC [45] LOG:  database system was shut down at 2026-05-22 19:35:38 UTC 2026-05-22 19:35:39.057 UTC [42] LOG:  database system is ready to accept connections done 2026-05-22 19:35:39.689 UTC [1] L…'",backend service,,,0,
K0023,F5-r2-C2-rule-grounded,,unknown,,,0,
K0024,F6-r8-C3-llm-grounded,"- type=TestResult resource=smoke msg='phase=Succeeded passed=2 failed=0 PASS smoke /healthz: 200 PASS smoke /api/products: 200 Results: 2 passed, 0 failed'
- type=TestResult resource=contract msg='phase=Failed passed=0 failed=1 FAIL contract: submit failed: HTTP 500: {""timestamp"":1779524121198,""status"":500,""error"":""Internal Server Error"",""path"":""/api/tests""}'
- type=TestResult resource=e2e msg='phase=Failed passed=1 failed=5 FAIL e2e catalog_page_loads: timeout — Locator.wait_for: Timeout 10000ms exceeded. PASS e2e preview_badge_shown FAIL e2e product_detail_panel: timeout — Locator.wait_for: Timeout 10000ms ex…'
- type=TestResult resource=regression msg='phase=Succeeded passed=9 failed=0 PASS regression homepage_html: 200 PASS regression health: 200 PASS regression products_list: 200 PASS regression product_detail: 200 PASS regression product_not_found: 404 PASS regressi…'",application,,,1,
K0025,F10-r9-C5-llm-grounded,"- type=ChangedFile resource=tests/e2e.py msg='type=backend'
- type=GitDiff resource=ihsenalaya/idp-preview msg='diff stored in ConfigMap ""preview-diff-pr-10009"" (key diff.patch)'
- type=PreviewCondition resource=Ready msg='status=True reason=AllResourcesReady message=Preview environment running at http://pr-10009.preview.ihsenalaya.xyz'
- type=PreviewCondition resource=AIEnrichmentReady msg='status=True reason=AIEnrichmentCompleted message=AI enrichment seed=Succeeded, tests=Succeeded'
- type=PreviewCondition resource=MigrationReady msg='status=True reason=JobAlreadySucceeded message=Database migration job already completed'
- type=PreviewCondition resource=SeedReady msg='status=True reason=TaskDisabled message=Database seed task is disabled'
- type=PreviewCondition resource=Approved msg='status=True reason=Approved message=Approved by: '
- type=PreviewCondition resource=TestSuiteReady msg='status=False reason=TestSuiteFailed message=smoke=Succeeded(2p/0f), contract=Failed(0p/1f), regression=Succeeded(9p/0f), e2e=Failed(1p/5f)'
- type=PreviewCondition resource=DatabaseReady msg='status=True reason=PostgreSQLProvisioned message=PostgreSQL 15 running — credentials in secret preview-pr-10009/postgres-credentials'
- type=TestResult resource=smoke msg='phase=Succeeded passed=2 failed=0 PASS smoke /healthz: 200 PASS smoke /api/products: 200 Results: 2 passed, 0 failed'
- type=TestResult resource=e2e msg='phase=Failed passed=1 failed=5 FAIL e2e catalog_page_loads: timeout — Locator.wait_for: Timeout 10000ms exceeded. PASS e2e preview_badge_shown FAIL e2e product_detail_panel: timeout — Locator.wait_for: Timeout 10000ms ex…'
- type=TestResult resource=regression msg='phase=Succeeded passed=9 failed=0 PASS regression homepage_html: 200 PASS regression health: 200 PASS regression products_list: 200 PASS regression product_detail: 200 PASS regression product_not_found: 404 PASS regressi…'
- type=TestResult resource=contract msg='phase=Failed passed=0 failed=1 FAIL contract: submit failed: HTTP 500: {""timestamp"":1779537047705,""status"":500,""error"":""Internal Server Error"",""path"":""/api/tests""}'",e2e tests,,,0,
K0026,F1-r2-C4-llm-freeform,"- type=ChangedFile resource=migrations/versions/002_fault.py msg='type=database-migration'
- type=GitDiff resource=ihsenalaya/idp-preview msg='diff stored in ConfigMap ""preview-diff-pr-9102"" (key diff.patch)'
- type=JobLog resource=pod/postgres-migrate-4xxw4 container/migration msg='File ""/usr/local/lib/python3.12/site-packages/sqlalchemy/engine/base.py"", line 1967, in _exec_single_context File ""/usr/local/lib/python3.12/site-packages/sqlalchemy/engine/default.py"", line 941, in do_execute cursor.exe…'
- type=KubernetesEvent resource=Job/postgres-migrate msg='Job/postgres-migrate: Job has reached the specified backoff limit'
- type=PodLog resource=pod/postgres-7f766475c6-z7cnk container/postgres msg='2026-05-23 05:33:21.762 UTC [58] LOG:  database system was shut down at 2026-05-23 05:33:21 UTC 2026-05-23 05:33:21.776 UTC [1] LOG:  database system is ready to accept connections 2026-05-23 05:33:34.218 UTC [72] ERROR:…'
- type=PreviewCondition resource=Ready msg='status=False reason=DatabaseMigrationFailed message=database migration job preview-pr-9102/postgres-migrate failed: Job has reached the specified backoff limit'
- type=PreviewCondition resource=MigrationReady msg='status=False reason=JobRunning message=Database migration job postgres-migrate is running'",database migration,,,1,
K0027,F4-r6-C4-rule-grounded,"- type=ChangedFile resource=app.py msg='type=backend'
- type=GitDiff resource=ihsenalaya/idp-preview msg='diff stored in ConfigMap ""preview-diff-pr-9406"" (key diff.patch)'
- type=PreviewCondition resource=TestSuiteReady msg='status=False reason=TestSuiteFailed message=smoke=Succeeded(2p/0f), contract=Failed(0p/1f), regression=Succeeded(9p/0f)'
- type=PreviewCondition resource=DatabaseReady msg='status=True reason=PostgreSQLProvisioned message=PostgreSQL 15 running — credentials in secret preview-pr-9406/postgres-credentials'
- type=PreviewCondition resource=AIEnrichmentReady msg='status=True reason=AIEnrichmentCompleted message=AI enrichment seed=Succeeded, tests=Succeeded'
- type=PreviewCondition resource=MigrationReady msg='status=True reason=JobAlreadySucceeded message=Database migration job already completed'
- type=PreviewCondition resource=SeedReady msg='status=True reason=TaskDisabled message=Database seed task is disabled'
- type=PreviewCondition resource=Approved msg='status=True reason=Approved message=Approved by: '
- type=PreviewCondition resource=Ready msg='status=True reason=AllResourcesReady message=Preview environment running at http://pr-9406.preview.ihsenalaya.xyz'
- type=TestResult resource=smoke msg='phase=Succeeded passed=2 failed=0 PASS smoke /healthz: 200 PASS smoke /api/products: 200 Results: 2 passed, 0 failed'
- type=TestResult resource=e2e msg='phase=Skipped passed=0 failed=0'
- type=TestResult resource=regression msg='phase=Succeeded passed=9 failed=0 PASS regression homepage_html: 200 PASS regression health: 200 PASS regression products_list: 200 PASS regression product_detail: 200 PASS regression product_not_found: 404 PASS regressi…'
- type=TestResult resource=contract msg='phase=Failed passed=0 failed=1 FAIL contract: submit failed: HTTP 500: {""timestamp"":1779516784805,""status"":500,""error"":""Internal Server Error"",""path"":""/api/tests""}'",backend,,,1,
K0028,F8-r7-C1-rule-grounded,,unknown,,,0,
K0029,F5-r2-C4-rule-grounded,"- type=ChangedFile resource=frontend.py msg='type=backend'
- type=GitDiff resource=ihsenalaya/idp-preview msg='diff stored in ConfigMap ""preview-diff-pr-9502"" (key diff.patch)'
- type=PreviewCondition resource=AIEnrichmentReady msg='status=True reason=AIEnrichmentCompleted message=AI enrichment seed=Succeeded, tests=Succeeded'
- type=PreviewCondition resource=MigrationReady msg='status=True reason=JobAlreadySucceeded message=Database migration job already completed'
- type=PreviewCondition resource=SeedReady msg='status=True reason=TaskDisabled message=Database seed task is disabled'
- type=PreviewCondition resource=TestSuiteReady msg='status=False reason=TestSuiteFailed message=smoke=Succeeded(2p/0f), regression=Succeeded(9p/0f), e2e=Failed(1p/5f)'
- type=PreviewCondition resource=Approved msg='status=True reason=Approved message=Approved by: '
- type=PreviewCondition resource=Ready msg='status=True reason=AllResourcesReady message=Preview environment running at http://pr-9502.preview.ihsenalaya.xyz'
- type=PreviewCondition resource=DatabaseReady msg='status=True reason=PostgreSQLProvisioned message=PostgreSQL 15 running — credentials in secret preview-pr-9502/postgres-credentials'
- type=TestResult resource=smoke msg='phase=Succeeded passed=2 failed=0 PASS smoke /healthz: 200 PASS smoke /api/products: 200 Results: 2 passed, 0 failed'
- type=TestResult resource=e2e msg='phase=Failed passed=1 failed=5 FAIL e2e catalog_page_loads: timeout — Locator.wait_for: Timeout 10000ms exceeded. PASS e2e preview_badge_shown FAIL e2e product_detail_panel: timeout — Locator.wait_for: Timeout 10000ms ex…'
- type=TestResult resource=regression msg='phase=Succeeded passed=9 failed=0 PASS regression homepage_html: 200 PASS regression health: 200 PASS regression products_list: 200 PASS regression product_detail: 200 PASS regression product_not_found: 404 PASS regressi…'",backend,,,0,
K0030,F7-r9-C3-llm-freeform,"- type=TestResult resource=contract msg='phase=Failed passed=0 failed=1 FAIL contract: submit failed: HTTP 500: {""timestamp"":1779531432165,""status"":500,""error"":""Internal Server Error"",""path"":""/api/tests""}'
- type=TestResult resource=smoke msg='phase=Succeeded passed=2 failed=0 PASS smoke /healthz: 200 PASS smoke /api/products: 200 Results: 2 passed, 0 failed'
- type=TestResult resource=e2e msg='phase=Failed passed=1 failed=5 FAIL e2e catalog_page_loads: timeout — Locator.wait_for: Timeout 10000ms exceeded. PASS e2e preview_badge_shown FAIL e2e product_detail_panel: timeout — Locator.wait_for: Timeout 10000ms ex…'
- type=TestResult resource=regression msg='phase=Succeeded passed=9 failed=0 PASS regression homepage_html: 200 PASS regression health: 200 PASS regression products_list: 200 PASS regression product_detail: 200 PASS regression product_not_found: 404 PASS regressi…'",backend API service,,,0,
K0031,F1-r4-C1-rule-grounded,"- type=JobLog resource=pod/postgres-migrate-w2gmj container/migration msg='File ""/usr/local/lib/python3.12/site-packages/sqlalchemy/engine/default.py"", line 941, in do_execute cursor.execute(statement, parameters) sqlalchemy.exc.ProgrammingError: (psycopg2.errors.SyntaxError) syntax error at or…'
- type=PodLog resource=pod/postgres-7547d75674-gm6td container/postgres msg='2026-05-22 18:46:58.084 UTC [58] LOG:  database system was shut down at 2026-05-22 18:46:57 UTC 2026-05-22 18:46:58.102 UTC [1] LOG:  database system is ready to accept connections 2026-05-22 18:47:09.787 UTC [70] ERROR:…'",migration-job,,,1,
K0032,F9-r4-C1-llm-grounded,,unknown,,,0,
K0033,F4-r6-C1-llm-freeform,,unknown,,,0,
